"";"";"Health Services Group";"2018 Private Mean (SD)";"2018 Public Mean (SD)";"2019 Private Mean (SD)";"2019 Public Mean (SD)";"2020 Private Mean (SD)";"2020 Public Mean (SD)"
"1";"All cancers";"All cancers";"23906.98 (3697.71)";"21160.45 (3441.73)";"25785.12 (4596.84)";"22514.48 (4162.68)";"19947.87 (10158.41)";"21030.83 (9561.09)"
"2";"General Oncological Services";"Oncology Consultations";"757.96 (146.22)";"553.42 (108.58)";"852.98 (172.44)";"587 (123.25)";"572.04 (270.77)";"421.21 (178.73)"
"3";"General Oncological Services";"Antigens";"1086.23 (166.26)";"847.51 (142.14)";"1151.81 (205.22)";"887.48 (166.56)";"942.85 (381.15)";"882.33 (336.06)"
"4";"General Oncological Services";"Biopsy";"774.11 (136.51)";"535.32 (90.54)";"1026.83 (203.3)";"665.06 (133.96)";"764.17 (430.28)";"595.5 (284.5)"
"5";"General Oncological Services";"Neoplastic Cells";"3.41 (1.96)";"5.6 (2.36)";"4.22 (2.19)";"7.6 (3.36)";"3.42 (2.06)";"6.38 (2.96)"
"6";"General Oncological Services";"Pet Ct";"39.85 (9.65)";"67.92 (14.36)";"46.19 (11.29)";"73.38 (15.72)";"52.4 (20.12)";"71.9 (24.56)"
"7";"Colorectal Cancer";"Occult bleeding";"336.57 (60.93)";"408.13 (64.21)";"377.69 (71.76)";"490.27 (89.43)";"294.46 (125.05)";"513.9 (184.07)"
"8";"Colorectal Cancer";"Sigmoidoscopy and Colonoscopy";"450.77 (98.94)";"490.06 (108.75)";"526.56 (117.46)";"558.02 (112.76)";"366.6 (215.39)";"445.4 (222.55)"
"9";"Cervical Cancer";"Cervical Biopsy";"26.75 (7.4)";"34.6 (9.19)";"31.44 (9.34)";"40.54 (10.43)";"31.5 (14.79)";"47.42 (20.83)"
"10";"Cervical Cancer";"Colposcopy";"34.96 (8.92)";"43.15 (11.61)";"40.31 (11.69)";"50.9 (12.02)";"36.83 (16.74)";"50.35 (22.43)"
"11";"Cervical Cancer";"Papanicolaou";"4108.91 (703.5)";"2708.28 (472.17)";"4409.19 (884.88)";"2944.31 (586.83)";"3496.29 (1971.48)";"2962.04 (1449.46)"
"12";"Gastric Cancer";"Esophagoscopy, Gastroduodenoscopy, Yeyuno Ileoscopy";"1367.32 (220.89)";"1637.83 (288.89)";"1498.06 (280.11)";"1732.46 (341.9)";"1034.77 (597.07)";"1507.56 (742.2)"
"13";"Gastric Cancer";"Ureasa";"1242.77 (200.96)";"1421.08 (250.15)";"1352.88 (254.07)";"1469.88 (295.53)";"919.79 (534.75)";"1268 (636.04)"
"14";"Breast Cancer";"Breast Ultrasound";"3869.89 (626.26)";"3361.92 (591.53)";"4138.27 (722.21)";"3637.65 (670.35)";"3252.96 (1752.73)";"3341.85 (1582.02)"
"15";"Breast Cancer";"Mammography";"4013.13 (637.83)";"3823.32 (671.98)";"4182.92 (745.33)";"4020.19 (749.96)";"3273.1 (1954.79)";"3632.46 (2039.93)"
"16";"Breast Cancer";"Breast MRI";"23.08 (7.92)";"11.06 (3.84)";"31.65 (8.1)";"11.92 (3.81)";"32.69 (11.69)";"12.85 (5.57)"
"17";"Prostate Cancer";"Prostate-Specific Antigen";"4849.28 (746.72)";"4037.98 (644.62)";"5136.88 (944.11)";"4099.83 (799.08)";"4135.87 (1688.92)";"4080.73 (1552.26)"
"18";"Prostate Cancer";"Prostate Ultrasoud";"922.11 (160.32)";"1173.26 (204.48)";"977.31 (183.73)";"1237.98 (250.57)";"738.27 (287.19)";"1190.94 (438.61)"
