Health Services Group;Sex;pandemic;pandemic:time_after;time
Oncology Consultations;Male;0.378 (0.348-0.412);1.033 (1.03-1.035);0.948 (0.881-1.02)
Oncology Consultations;Female;0.287 (0.267-0.309);1.043 (1.041-1.045);0.918 (0.862-0.978)
Antigens;Male;0.188 (0.168-0.21);1.051 (1.047-1.054);1.001 (0.91-1.1)
Antigens;Female;0.157 (0.142-0.172);1.054 (1.051-1.057);0.971 (0.895-1.054)
Biopsy;Male;0.37 (0.335-0.407);1.03 (1.027-1.033);0.972 (0.894-1.057)
Biopsy;Female;0.279 (0.252-0.308);1.037 (1.034-1.041);0.877 (0.804-0.956)
Neoplastic Cells;Male;0.979 (0.531-1.795);1.001 (0.984-1.018);1.092 (0.652-1.84)
Neoplastic Cells;Female;0.76 (0.495-1.161);1.002 (0.989-1.015);0.996 (0.688-1.44)
Pet Ct;Male;0.248 (0.225-0.274);1.031 (1.028-1.034);0.918 (0.847-0.994)
Pet Ct;Female;0.223 (0.206-0.242);1.036 (1.034-1.039);0.928 (0.866-0.994)
Occult bleeding;Male;0.481 (0.412-0.562);1.023 (1.018-1.027);0.895 (0.784-1.021)
Occult bleeding;Female;0.465 (0.401-0.54);1.028 (1.024-1.033);0.941 (0.829-1.069)
Sigmoidoscopy and Colonoscopy;Male;0.192 (0.173-0.213);1.05 (1.047-1.054);0.964 (0.886-1.048)
Sigmoidoscopy and Colonoscopy;Female;0.124 (0.112-0.138);1.059 (1.056-1.062);0.897 (0.826-0.975)
Esophagoscopy, Gastroduodenoscopy, Yeyuno Ileoscopy;Male;0.177 (0.16-0.196);1.054 (1.051-1.058);0.911 (0.836-0.992)
Esophagoscopy, Gastroduodenoscopy, Yeyuno Ileoscopy;Female;0.117 (0.106-0.129);1.067 (1.064-1.07);0.902 (0.828-0.982)
Ureasa;Male;0.173 (0.156-0.192);1.054 (1.051-1.057);0.892 (0.818-0.974)
Ureasa;Female;0.114 (0.103-0.126);1.068 (1.065-1.071);0.893 (0.819-0.973)
