Model;pandemia;pandemia_time_after;time
Additive;0.228 (0.208-0.25);1.047 (1.044-1.049);0.914 (0.843-0.991)
Female;0.172 (0.159-0.186);1.052 (1.05-1.055);0.901 (0.841-0.964)
Male;0.223 (0.207-0.24);1.045 (1.043-1.047);0.929 (0.87-0.991)
Private;0.182 (0.162-0.204);1.05 (1.047-1.054);0.92 (0.832-1.017)
Public;0.278 (0.246-0.315);1.044 (1.04-1.048);0.907 (0.812-1.014)
[0,10);0.292 (0.261-0.327);1.029 (1.025-1.032);0.909 (0.826-1)
[10,20);0.209 (0.186-0.236);1.046 (1.042-1.05);0.912 (0.823-1.01)
[20,30);0.267 (0.236-0.302);1.042 (1.039-1.046);0.929 (0.833-1.035)
[30,40);0.256 (0.226-0.29);1.045 (1.041-1.049);0.95 (0.85-1.062)
[40,50);0.226 (0.201-0.255);1.05 (1.047-1.054);0.914 (0.822-1.016)
[50,60);0.217 (0.194-0.243);1.051 (1.048-1.055);0.918 (0.83-1.016)
[60,70);0.2 (0.178-0.225);1.051 (1.048-1.055);0.895 (0.806-0.993)
[70,80);0.168 (0.149-0.191);1.055 (1.051-1.059);0.878 (0.786-0.98)
