Health Services Group;Absolute Reduction (CI 95%);Relative Reduction (CI 95%)
Oncology Consultations;36396.69 (30912.55-42827.35);50.13% (49.25% - 51%)
Antigens;22163.81 (17537.64-27841.03);23.06% (21.48% - 24.62%)
Biopsy;38884.73 (33701.68-44831.99);42.73% (41.85% - 43.59%)
Neoplastic Cells;67.51 (31.54-132.67);15.5% (11.34% - 19.43%)
Pet Ct;963.33 (743.35-1232.16);15.87% (14.2% - 17.5%)
Occult bleeding;15598.49 (13584.76-17892.07);33.92% (33.03% - 34.8%)
Sigmoidoscopy and Colonoscopy;26852.22 (23492.4-30676.3);46.68% (45.89% - 47.46%)
Cervical Biopsy;578.6 (408.01-798.49);15.06% (12.77% - 17.27%)
Colposcopy;1353.85 (1067.99-1708.43);28.3% (26.68% - 29.88%)
Papanicolaou;123161.05 (107681.78-140716.23);33.84% (32.94% - 34.73%)
Esophagoscopy, Gastroduodenoscopy, Yeyuno Ileoscopy;71083.78 (61796.74-81710.35);43.29% (42.43% - 44.13%)
Ureasa;63351.07 (54936.02-73005.72);44.2% (43.34% - 45.05%)
Breast Ultrasound;122902.33 (107521.78-140321.44);31.95% (31.05% - 32.84%)
Mammography;118273.31 (102558.19-136194.69);30.46% (29.48% - 31.43%)
Breast MRI;543.32 (388.62-748.36);22.48% (20.05% - 24.82%)
Prostate-Specific Antigen;112582.83 (94822.69-133290.03);25.54% (24.36% - 26.7%)
Prostate Ultrasoud;31202.82 (26603.71-36528.8);29.6% (28.53% - 30.67%)
